date,state,fips,cases,deaths,Cases Per Capita,Deaths per capita,,State Population,,
2/10/20,Arizona,4,1,0, 0.01 , -   ,," 7,278,717 ",,
2/10/20,California,6,7,0, 0.02 , -   ,," 39,512,223 ",,
2/10/20,Illinois,17,2,0, 0.02 , -   ,," 12,671,821 ",,
2/10/20,Massachusetts,25,1,0, 0.01 , -   ,," 6,892,503 ",,
2/10/20,Washington,53,1,0, 0.01 , -   ,," 7,614,893 ",,
2/10/20,Wisconsin,55,1,0, 0.02 , -   ,," 5,822,434 ",,
2/11/20,Arizona,4,1,0, 0.01 , -   ,," 7,278,717 ",,
2/11/20,California,6,7,0, 0.02 , -   ,," 39,512,223 ",,
2/11/20,Illinois,17,2,0, 0.02 , -   ,," 12,671,821 ",,
2/11/20,Massachusetts,25,1,0, 0.01 , -   ,," 6,892,503 ",,
2/11/20,Washington,53,1,0, 0.01 , -   ,," 7,614,893 ",,
2/11/20,Wisconsin,55,1,0, 0.02 , -   ,," 5,822,434 ",,
2/12/20,Arizona,4,1,0, 0.01 , -   ,," 7,278,717 ",,
2/12/20,California,6,7,0, 0.02 , -   ,," 39,512,223 ",,
2/12/20,Illinois,17,2,0, 0.02 , -   ,," 12,671,821 ",,
2/12/20,Massachusetts,25,1,0, 0.01 , -   ,," 6,892,503 ",,
2/12/20,Texas,48,1,0, 0.00 , -   ,," 28,995,881 ",,
2/12/20,Washington,53,1,0, 0.01 , -   ,," 7,614,893 ",,
2/12/20,Wisconsin,55,1,0, 0.02 , -   ,," 5,822,434 ",,
2/13/20,Arizona,4,1,0, 0.01 , -   ,," 7,278,717 ",,
2/13/20,California,6,7,0, 0.02 , -   ,," 39,512,223 ",,
2/13/20,Illinois,17,2,0, 0.02 , -   ,," 12,671,821 ",,
2/13/20,Massachusetts,25,1,0, 0.01 , -   ,," 6,892,503 ",,
2/13/20,Texas,48,2,0, 0.01 , -   ,," 28,995,881 ",,
2/13/20,Washington,53,1,0, 0.01 , -   ,," 7,614,893 ",,
2/13/20,Wisconsin,55,1,0, 0.02 , -   ,," 5,822,434 ",,
2/14/20,Arizona,4,1,0, 0.01 , -   ,," 7,278,717 ",,
2/14/20,California,6,7,0, 0.02 , -   ,," 39,512,223 ",,
2/14/20,Illinois,17,2,0, 0.02 , -   ,," 12,671,821 ",,
2/14/20,Massachusetts,25,1,0, 0.01 , -   ,," 6,892,503 ",,
2/14/20,Texas,48,2,0, 0.01 , -   ,," 28,995,881 ",,
2/14/20,Washington,53,1,0, 0.01 , -   ,," 7,614,893 ",,
2/14/20,Wisconsin,55,1,0, 0.02 , -   ,," 5,822,434 ",,
2/15/20,Arizona,4,1,0, 0.01 , -   ,," 7,278,717 ",,
2/15/20,California,6,7,0, 0.02 , -   ,," 39,512,223 ",,
2/15/20,Illinois,17,2,0, 0.02 , -   ,," 12,671,821 ",,
2/15/20,Massachusetts,25,1,0, 0.01 , -   ,," 6,892,503 ",,
2/15/20,Texas,48,2,0, 0.01 , -   ,," 28,995,881 ",,
2/15/20,Washington,53,1,0, 0.01 , -   ,," 7,614,893 ",,
2/15/20,Wisconsin,55,1,0, 0.02 , -   ,," 5,822,434 ",,
2/16/20,Arizona,4,1,0, 0.01 , -   ,," 7,278,717 ",,
2/16/20,California,6,7,0, 0.02 , -   ,," 39,512,223 ",,
2/16/20,Illinois,17,2,0, 0.02 , -   ,," 12,671,821 ",,
2/16/20,Massachusetts,25,1,0, 0.01 , -   ,," 6,892,503 ",,
2/16/20,Texas,48,2,0, 0.01 , -   ,," 28,995,881 ",,
2/16/20,Washington,53,1,0, 0.01 , -   ,," 7,614,893 ",,
2/16/20,Wisconsin,55,1,0, 0.02 , -   ,," 5,822,434 ",,
2/17/20,Arizona,4,1,0, 0.01 , -   ,," 7,278,717 ",,
2/17/20,California,6,7,0, 0.02 , -   ,," 39,512,223 ",,
2/17/20,Illinois,17,2,0, 0.02 , -   ,," 12,671,821 ",,
2/17/20,Massachusetts,25,1,0, 0.01 , -   ,," 6,892,503 ",,
2/17/20,Nebraska,31,10,0, 0.52 , -   ,," 1,934,408 ",,
2/17/20,Texas,48,2,0, 0.01 , -   ,," 28,995,881 ",,
2/17/20,Washington,53,1,0, 0.01 , -   ,," 7,614,893 ",,
2/17/20,Wisconsin,55,1,0, 0.02 , -   ,," 5,822,434 ",,
2/18/20,Arizona,4,1,0, 0.01 , -   ,," 7,278,717 ",,
2/18/20,California,6,7,0, 0.02 , -   ,," 39,512,223 ",,
2/18/20,Illinois,17,2,0, 0.02 , -   ,," 12,671,821 ",,
2/18/20,Massachusetts,25,1,0, 0.01 , -   ,," 6,892,503 ",,
2/18/20,Nebraska,31,10,0, 0.52 , -   ,," 1,934,408 ",,
2/18/20,Texas,48,2,0, 0.01 , -   ,," 28,995,881 ",,
2/18/20,Washington,53,1,0, 0.01 , -   ,," 7,614,893 ",,
2/18/20,Wisconsin,55,1,0, 0.02 , -   ,," 5,822,434 ",,
2/19/20,Arizona,4,1,0, 0.01 , -   ,," 7,278,717 ",,
2/19/20,California,6,7,0, 0.02 , -   ,," 39,512,223 ",,
2/19/20,Illinois,17,2,0, 0.02 , -   ,," 12,671,821 ",,
2/19/20,Massachusetts,25,1,0, 0.01 , -   ,," 6,892,503 ",,
2/19/20,Nebraska,31,10,0, 0.52 , -   ,," 1,934,408 ",,
2/19/20,Texas,48,2,0, 0.01 , -   ,," 28,995,881 ",,
2/19/20,Washington,53,1,0, 0.01 , -   ,," 7,614,893 ",,
2/19/20,Wisconsin,55,1,0, 0.02 , -   ,," 5,822,434 ",,
2/20/20,Arizona,4,1,0, 0.01 , -   ,," 7,278,717 ",,
2/20/20,California,6,8,0, 0.02 , -   ,," 39,512,223 ",,
2/20/20,Illinois,17,2,0, 0.02 , -   ,," 12,671,821 ",,
2/20/20,Massachusetts,25,1,0, 0.01 , -   ,," 6,892,503 ",,
2/20/20,Nebraska,31,11,0, 0.57 , -   ,," 1,934,408 ",,
2/20/20,Texas,48,2,0, 0.01 , -   ,," 28,995,881 ",,
2/20/20,Washington,53,1,0, 0.01 , -   ,," 7,614,893 ",,
2/20/20,Wisconsin,55,1,0, 0.02 , -   ,," 5,822,434 ",,
2/21/20,Arizona,4,1,0, 0.01 , -   ,," 7,278,717 ",,
2/21/20,California,6,9,0, 0.02 , -   ,," 39,512,223 ",,
2/21/20,Illinois,17,2,0, 0.02 , -   ,," 12,671,821 ",,
2/21/20,Massachusetts,25,1,0, 0.01 , -   ,," 6,892,503 ",,
2/21/20,Nebraska,31,11,0, 0.57 , -   ,," 1,934,408 ",,
2/21/20,Texas,48,4,0, 0.01 , -   ,," 28,995,881 ",,
2/21/20,Washington,53,1,0, 0.01 , -   ,," 7,614,893 ",,
2/21/20,Wisconsin,55,1,0, 0.02 , -   ,," 5,822,434 ",,
2/22/20,Arizona,4,1,0, 0.01 , -   ,," 7,278,717 ",,
2/22/20,California,6,9,0, 0.02 , -   ,," 39,512,223 ",,
2/22/20,Illinois,17,2,0, 0.02 , -   ,," 12,671,821 ",,
2/22/20,Massachusetts,25,1,0, 0.01 , -   ,," 6,892,503 ",,
2/22/20,Nebraska,31,11,0, 0.57 , -   ,," 1,934,408 ",,
2/22/20,Texas,48,4,0, 0.01 , -   ,," 28,995,881 ",,
2/22/20,Washington,53,1,0, 0.01 , -   ,," 7,614,893 ",,
2/22/20,Wisconsin,55,1,0, 0.02 , -   ,," 5,822,434 ",,
2/23/20,Arizona,4,1,0, 0.01 , -   ,," 7,278,717 ",,
2/23/20,California,6,9,0, 0.02 , -   ,," 39,512,223 ",,
2/23/20,Illinois,17,2,0, 0.02 , -   ,," 12,671,821 ",,
2/23/20,Massachusetts,25,1,0, 0.01 , -   ,," 6,892,503 ",,
2/23/20,Nebraska,31,11,0, 0.57 , -   ,," 1,934,408 ",,
2/23/20,Texas,48,4,0, 0.01 , -   ,," 28,995,881 ",,
2/23/20,Washington,53,1,0, 0.01 , -   ,," 7,614,893 ",,
2/23/20,Wisconsin,55,1,0, 0.02 , -   ,," 5,822,434 ",,
2/24/20,Arizona,4,1,0, 0.01 , -   ,," 7,278,717 ",,
2/24/20,California,6,11,0, 0.03 , -   ,," 39,512,223 ",,
2/24/20,Illinois,17,2,0, 0.02 , -   ,," 12,671,821 ",,
2/24/20,Massachusetts,25,1,0, 0.01 , -   ,," 6,892,503 ",,
2/24/20,Nebraska,31,12,0, 0.62 , -   ,," 1,934,408 ",,
2/24/20,Texas,48,10,0, 0.03 , -   ,," 28,995,881 ",,
2/24/20,Washington,53,5,0, 0.07 , -   ,," 7,614,893 ",,
2/24/20,Wisconsin,55,1,0, 0.02 , -   ,," 5,822,434 ",,
2/25/20,Arizona,4,1,0, 0.01 , -   ,," 7,278,717 ",,
2/25/20,California,6,11,0, 0.03 , -   ,," 39,512,223 ",,
